letter,count,relative
р,9908,0.042210918262143945
с,10019,0.04268381005938839
т,12281,0.05232057803566712
у,8461,0.03604628375211949
ф,8,3.408229169329346E-5
х,2734,0.011647623186183039
ц,1383,0.005891976176478107
ч,3556,0.015149578657668942
ш,2384,0.01015652292460145
щ,1803,0.007681296490376013
ь,5406,0.023031108611743054
ю,1947,0.008294777740855295
я,4477,0.019073302488859353
ґ,10,4.2602864616616824E-5
є,1060,0.004515903649361383
і,10344,0.04406840315942844
ї,1394,0.005938839327556385
а,21703,0.09246099707744349
б,5221,0.022242955616335644
в,11734,0.04999020134113818
г,4456,0.018983836473164456
д,8095,0.034487018907151314
е,12281,0.05232057803566712
ж,3543,0.01509419493366734
з,5573,0.023742576450840554
и,14181,0.06041512231282432
й,3518,0.014987687772125799
к,9876,0.04207458909537077
л,7301,0.03110435145659194
м,7194,0.030648500805194143
н,11752,0.05006688649744809
о,24565,0.10465393693071923
п,6558,0.02793895861557731
Total,234726
